count-0;Comptage des messages...;Counting messages...
top-5;Bravo, vous êtes le premier !;Well done, you're first!
top-6;Oups, vous n'êtes pas encore classé;Oops, you're not ranked yet.
top-7;Vous êtes classés à la {}ème position !;You are ranked {0}th !
aide;"Les commandes du Hunter:
- `!phelp` Fait apparaître ce menu.
- `!pan` Permet de tirer. Plus d'informations dans le `!pinfo`.
- `!rank` Votre niveau actuel et autres statistiques.
- `!top` Le classement global sur le nombre de points.
- `!pinfo` Les informations sur le jeu.
- `!shop [nombre]` Acheter des cartouches ({0}xp par cartouche)";"Hunter commands:
- `!phelp` Opens this menu.
- `!pan` Allows to shoot. More information in the `!pinfo`.
- `!rank` Your current level and other statistics.
- `!top` The overall ranking on the number of points.
- `!pinfo` Information about the game.
`!shop [number]` Buy cartridges ({0}xp per cartridge)"
infos;"**Bonjour en bienvenue dans le jeu *Hunter*** !
Il s'agit d'un jeu de ~~tir~~ hasard inspiré d'un très célèbre jeu de chasse aux canards, encore en développement.
Le but du jeu est simple : tirez, et si vous avez de la chance vous tomberez sur un objet qui donne beaucoup d'xp. Évidemment plus un objet rapporte d'xp, plus il est rare !
Vous démarrez avec {0} munitions, et votre chargeur est rempli toutes les quatre heures, mais vous pouvez aussi en acheter à {1}xp par cartouche.
On pensera à remercier **Aragorn1202** et **Platon_Neutron** pour avoir inventé les différentes phrases, ainsi qu'à *Z_runner#7515* pour avoir codé le bot :wink:

*Amusez-vous bien, et... que la chance soit avec vous !*";"**Hello and welcome to the game *Hunter*** !
It's a game of ~~shoot~~ chance inspired by a very famous game of duck hunting, still in development.
The goal of the game is simple: shoot, and if you are lucky you will come across an object that gives a lot of xp. Obviously the more an object brings back xp, the rarer it is !
You start with {0} ammunition, and your loader is filled every four hours, but you can also buy it at {1}xp per cartouche.
We will think to thank **Aragorn1202** and **Platon_Neutron** for inventing the different sentences, as well as *Z_runner#7515* for coding the bot :wink:

*Amuse yourselves well, and... may the luck be with you !*"

msg-0;Oops, il manque un paramètre;Oops, there' s a missing parameter
msg-1;"Nom : {}
ID numérique : {}
ID : {}";"Name: {}
Numeric ID: {}
ID: {}"
msg-2;"Nom : {}
ID numérique : {}:{}
ID : {}";"Name: {}
Numeric ID: {}:{}
ID: {}"
msg-3;Impossible de trouver cet item;Unable to find this item
msg-4;Items importés !;Items correctly imported!
msg-5;Entités importées !;Entities correctly imported!
msg-6;Items et entités importés !;Items and entities correctly imported!
msg-7;Paramètre invalide. Sélectionnez `item`, `entity` ou `all`;Invalid setting. Select `item`, `entity` or `all`
msg-8;"Cette commande permet de trouver un bloc ou une entité de Mineraft® à partir de son nom ou de son ID. Vous n'avez qu'à entrer `!mc <item/entity> <data>` pour obtenir les informations correspondantes !
*PS : la base de donnée est actuellement en 1.12*";"This command allows you to find a Mineraft® block or entity from its name or ID. All you have to do is enter `!mc <item/entity> <data>` to get the corresponding information !
*PS  the database is currently in 1.12*"
msg-9;Paramètres invalides. Sélectionnez `help`, `item` ou `entity`;Invalid settings. Select `help`, `item` or `entity`
msg-10;Impossible de trouver cette entité;Unable to find this entity

slowon-0;Le salon {} est maintenant en slowmode ! ({} secondes);The channel {0} is now in slowmode! ({1} seconds)
slowon-1;Hum... désolé, mais nous n'acceptons que les secondes en paramètre :rolling_eyes: ;Um... sorry, but we only accept seconds as parameter: rolling_eyes: 
slowon-2;"Hum... il semble y avoir une erreur :thinking:
Pour rappel, la syntaxe est `!slowmode <secondes>`";"Um... there seems to be an error :thinking:
Remember, the syntax is `!slowmode <seconds>`"
slowon-3;Vous ne semblez pas posséder les permissions suffisantes pour faire cela...;You don't seem to have enough permissions to do that....
slowoff-0;Le salon {} n'est plus en slowmode;The channel {0} is no longer in slowmode
slowoff-1;Wow on se calme ici, le salon n'est pas en slowmode !;Wow, calm down here, channel is not in slowmode!
slow_check-0;Pas trop vite {}, le salon {} est en slowmode !;Not so fast {0}, channem {1} is in slowmode!
mute-help;"Cette commande sert à empêcher un membre de parler, dans tout le serveur. La syntaxe est `!mute <user>`, ou `!unmute <user>` pour lui redonner la parole. 
- Le système fonctionne en appliquant le rôle *muted* au membre, il faut donc que celui-ci soit placé en-dessous du rôle de <@!411134209822949378>
- <@!411134209822949378> doit aussi posséder la permission d'ajouter un rôle à un membre (""manage roles"" en anglais)
- Il est recommandé d'enlever la permission ""Envoyer des messages"" (""Send messages"") manuellement au rôle *muted* dans chacun des salons où le bot n'est pas présent, pour améliorer son efficacité
**Attention : cette commande est réservée à certains membres du staff !**";"This command is used to prevent a member from speaking, throughout the server. The syntax is `!mute <user>`, or `!unmute <user>` to give him the voice again.
- The system works by applying the *muted* role to the member, so it must be placed below the role of <@!411134209822949378>
- <@!411134209822949378> must also have permission to add a role to a member (""manage roles"")
- It's recommended to remove the ""Send messages"" permission manually at the *muted* role in each of the channels where the bot is not present, to improve its efficiency
**Attention: this command is reserved for certain members of the staff!**"
mute-0;Aucun membre n'a été trouvé;No members were found
mute-1;Ah, il semble que {} soit déjà mute...;Ah, it seems {} is already muted...
mute-2;Vous ne pouvez pas réduire au silence un autre membre du staff !;You can't silence another staff member!
mute-3;**{0}** a été réduit au silence par {1};**{0}** has been silenced by {1}
mute-4;Je n'ai pas les permissions requises :confused:;I don't have the required permissions :confused:
mute-5;Oops, le role 'muted' n'existe pas :confused:;Oops, the role 'muted' does not exist :confused:
mute-6;Désolé, vous n'avez pas la permission de faire ceci;Sorry, you don't have permission to do this.
unmute-0;Ah, il semble que {} ne soit pas mute...;Ah, it seems {} is not muted...
unmute-1;**{0}** peut à nouveau parler !;**{0}** can talk again!
unmute-2;{0} a été unmute par {1};{0} was unmuted by {1}
unmute-3;Hum... il semblerai que je ne dispose pas des permissions nécessaires <:excusemewhat:418154673523130398>;Um... it seems I don't have the necessary permissions <:excusemewhat:418154673523130398>
mutelist-0;Aucun membre n'est muet ici :thinking:;No member is mute here :thinking:
mutelist-1;Liste des membres muets : ;List of mute members: 
ban-0;Le membre {} n'a pas été trouvé :confused:;Member {} was not found :confused:
ban-1;Vous ne pouvez pas bannir un autre membre du staff  ! ;You can't ban another staff member!
ban-2;"Quelqu'un est en train de vous bannir du serveur **{}** :confused:
Raison : ";"Someone's banning you from the server **{}** :confused:
Reason : "
ban-3;Quelqu'un est en train de vous bannir du serveur **{}** :confused:;Someone's banning you from the server **{}** :confused:
ban-4; vient d'être banni de ce serveur. Raison : ; has just been banned from this server. Reason : 
ban-5; vient d'être banni de ce serveur.; has just been banned from this server.
ban-6;Bonne nouvelle, le ban n'a pas fonctionné !;Good news, the ban didn't work!
ban-7;Désolé, vous n'avez pas la permission de bannir :confused:;Sorry, you don't have permission to banish :confused:
unban-0; semble être présent dans ce serveur. Vous êtes sûr de votre commande ? :upside_down:; seems to be in this server. Are you sure about your command? :upside_down:
unban-1; ne semble pas être dans la liste des bannis :confused:; doesn't seem to be on the banned list :confused:
unban-2; peut à nouveau nous rejoindre ! Entrez `!invite` pour recevoir un nouveau lien d'invitation à lui envoyer !; can join us again! Enter `!invite` to receive a new invitation link to send!
unban-3;Vous ne possédez pas la permission de faire ceci <:red_cross:447509074771312652>;You do not have permission to do this <:red_cross:447509074771312652>
kick-0;"Quelqu'un est en train de vous expulser du serveur **{}** :confused:
Raison : {}";"Somebody's kicking you off the server **{}** :confused:
Reason : {}"
kick-1;Quelqu'un est en train de vous expulser du serveur **{}** :confused:;Somebody's kicking you off the server **{}** :confused:
kick-2;**{}** vient d'être kick du serveur. Raison : {};**{}** just got kicked off the server.. Reason : {}
kick-3;**{}** vient d'être kick du serveur.;**{}** just got kicked off the server..
kick-4;Bonne nouvelle, il semble que le kick n'ai pas fonctionné ! :champagne:;Good news, it seems the kick didn't work! :champagne:

rank-0;{0} est un **bot**, il ne peux pas gagner d'xp !;{0} is a **bot**, can't win an xp!
rank-1;Impossible de trouver le membre {0};Unable to find member {0}

text-0;"Bonjour ! Moi c'est {0} !

Je suis un bot qui permet de faire *beaucoup* de choses : de la modération, des mini-jeux, un système d'xp, des statistiques et plein d'autres commandes plus ou moins utiles ! 
Vous pouvez commencer par taper `!help` dans ce tchat pour voir la liste des commandes disponibles, puis `!sconfig see` vous permettra de voir les options de configuration (un site web est en préparation). 

:globe_with_meridians: Deux liens pourront vous être utiles : 
:arrow_forward: Mon serveur Discord : http://discord.gg/ECRv8he
:arrow_forward: Un lien pour m'inviter dans un autre serveur : <https://bot.discord.io/zbot>

Bonne journée !";"Hello! I'm {0} !

I'm a bot that allows you to do a lot of things: moderation, mini-games, an xp system, statistics and many other super useful commands (and totally pointless ones)! 
You can start by typing `!help` in this chat to see the list of available commands, then `!sconfig see` will let you see the configuration options (a website is in preparation). 

:globe_with_meridians: Two links may be useful: 
:arrow_forward: My Discord server : http://discord.gg/ECRv8he
:arrow_forward: A link to invite me to another server : <https://bot.discord.io/zbot>

Have a nice day!"

